Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
KM403591,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)17497Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403592,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)10152Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403593,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)12543Y13,Orthoflavivirus denguei,10713,complete,Singapore,Homo sapiens,blood,2013
KM403594,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)41081Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403595,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)14592Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403596,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)23469Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403597,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)21152Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403598,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)25135Y13,Orthoflavivirus denguei,10646,complete,Singapore,Homo sapiens,blood,2013
KM403599,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)15005Y13,Orthoflavivirus denguei,10670,complete,Singapore,Homo sapiens,blood,2013
KM403600,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)22054Y13,Orthoflavivirus denguei,10699,complete,Singapore,Homo sapiens,blood,2013
KM403601,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)26957Y13,Orthoflavivirus denguei,10648,complete,Singapore,Homo sapiens,blood,2013
KM403602,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)45748Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403603,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)13943Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403604,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)15073Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403605,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)16120Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403606,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)16267Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403607,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)18736Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403608,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)19725Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403609,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)21469Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403610,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)21672Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403611,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)21860Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403612,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)22740Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403613,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)48695Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403614,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)23537Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403615,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)36303Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403616,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)28740Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403617,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)38030Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403618,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)10689Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403619,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)23018Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403620,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)35663Y13,Orthoflavivirus denguei,10698,complete,Singapore,Homo sapiens,blood,2013
KM403621,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)40160Y13,Orthoflavivirus denguei,10662,complete,Singapore,Homo sapiens,blood,2013
KM403622,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)41379Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403623,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)43144Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403624,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)46841Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403625,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)50688Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403626,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)50837Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403627,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)03513Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403628,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)10498Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403629,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)12044Y13,Orthoflavivirus denguei,10637,complete,Singapore,Homo sapiens,blood,2013
KM403630,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)22272Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403631,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)50722Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403632,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)51687Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403633,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)09125Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403634,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)22176Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403635,dengue virus 1,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)40115Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
KM403636,dengue virus type I,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,3/9/16,SGEHI(D1)03120Y13,Orthoflavivirus denguei,10714,complete,Singapore,Homo sapiens,blood,2013
LC128301,dengue virus type I,"Tajima,S., Ito,K., Kusama,Y., Takasaki,T.","Department of Virology 1; 1-23-1 Toyoma, shinjuku, Tokyo 162-8640",Japan,2/26/16,,Orthoflavivirus denguei,10693,partial,Philippines,Homo sapiens,blood,2016-01
KR779783,dengue virus type I,"Hapuarachchi,H.C., Koo,C., Lee,K.S., Ng,L.C.","National Environment Agency, Environmental Health Institute",Singapore,6/15/15,SG(EHI)D1/44614Y11,Orthoflavivirus denguei,10713,partial,Singapore,Homo sapiens,blood,2011
KJ806939,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/01053Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806941,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/09717Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806943,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/11986Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806944,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/13260Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806945,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/26610Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806946,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/27197Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806947,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/35503Y13,Orthoflavivirus denguei,10708,partial,Singapore,Homo sapiens,,2013
KJ806949,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/41757Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806950,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/50903Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806951,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/51415Y13,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2013
KJ806953,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/04009Y13,Orthoflavivirus denguei,10661,partial,Singapore,Homo sapiens,,2013
KJ806959,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/07771Y14,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2014
KJ806961,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/01963Y14,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2014
KJ806963,dengue virus type I,"Ng,L.C., Chem,Y.K., Koo,C., Mudin,R.N., Amin,F.M., Lee,K.S., Kheong,C.C., Mohd Amin,F., Chong,C.K.","National Environment Agency, Environmental Health Institute",Singapore,4/20/15,SG(EHI)D1/07211Y14,Orthoflavivirus denguei,10735,partial,Singapore,Homo sapiens,,2014
KC762620,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-0390,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,12/13/07
KC762621,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-0397,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,2/15/08
KC762622,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-2200,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,4/9/08
KC762623,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-0206,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,7/17/07
KC762624,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-2082,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,2/15/08
KC762625,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-0056,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,6/22/07
KC762626,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-2138,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,2/26/08
KC762627,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-IF062,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,4/17/08
KC762628,dengue virus 1,"Sasmono,R.T., Wahid,I., Trimarsanto,H., Yohan,B., Wahyuni,S., Hertanto,M., Yusuf,I., Mubin,H., Ganda,I.J., Latief,R., Bifani,P.J., Shi,P.Y., Schreiber,M.J., Sasmono,T., Bifani,P., Shi,P.-Y.",Eijkman Institute for Molecular Biology,Indonesia,1/17/15,MKS-2058,Orthoflavivirus denguei,10735,complete,Indonesia,Homo sapiens,blood,2/19/08
